channel,visitors,leads,customers,revenue_usd,avg_pageviews,avg_time_on_site,traffic_to_lead_rate,lead_to_customer_rate,visitor_to_customer_rate,revenue_per_visitor
Organic Search,1045,699,17,187.82999999999998,2.6,118.6488038277512,0.6688995215311004,0.024320457796852647,0.016267942583732056,0.17974162679425837
Paid Search,533,366,16,168.84,3.0337711069418387,147.1782363977486,0.6866791744840526,0.04371584699453552,0.0300187617260788,0.3167729831144465
Referral,272,186,13,125.86999999999999,2.8713235294117645,111.9154411764706,0.6838235294117647,0.06989247311827956,0.04779411764705882,0.4627573529411764
Direct,359,242,7,82.93,2.7047353760445683,106.73816155988858,0.6740947075208914,0.028925619834710745,0.019498607242339833,0.23100278551532036
Social,199,135,2,20.98,2.201005025125628,81.82412060301507,0.678391959798995,0.014814814814814815,0.010050251256281407,0.10542713567839196
Display,92,57,0,0.0,1.923913043478261,53.98913043478261,0.6195652173913043,0.0,0.0,0.0
